Source Language,Target Language,Request Body,Response Body
de,en,Ich dachte das Sie in ihrer Datenbank nach schauen könnten da ich auch den genauen Tag angegeben hab!?,I thought you could look in your database since I also specified the exact day!?
de,en,"Nein danke 
Schönen tag",No thanks Have a nice day
de,en,Hatte einen Grundig noch net mal Jahr gehalten und jetzt Phillips top Fernseher,Had a Grundig not even a year and now Phillips top TV
en,fi,Are you still with me?,Oletko edelleen kanssani?
de,en,Ja natürlich,"Yes, of course"
de,en,Ja natürlich,"Yes, of course"
de,en,Bekomme ich als Kulanz ein gratis Cover für das Lange warten?,Will I get a free cover as a gesture of goodwill for the long wait?
de,en,Hast du Fragen zu deiner Bestellung?,Do you have any questions about your order?
de,en,Hast du Fragen zu deiner Bestellung?,Do you have any questions about your order?
de,en,Hast du Fragen zu deiner Bestellung?,Do you have any questions about your order?
de,en,"ANDERES THEMA, DE241121-11633430 : Rechnungsadresse korrigieren, Hallo! Willkommen bei den Samsung Experten! Wie können wir dir heute helfen?",OTHER TOPIC DE241121-11633430 : Correct billing address Hello! Welcome to Samsung Experts! How can we help you today?
en,sv,"For the Trade-in portal to be updated, then the Foxway agents first need to process the device, then inspect it and evaluate it themselves so that the Trade-In can be updated. Once they update they are done with the processes and update the portal, you will receive the email regarding the Trade-In amount refund.","För att inbytesportalen ska uppdateras måste Foxway-agenterna först bearbeta enheten, sedan inspektera den och utvärdera den själva så att inbytet kan uppdateras. När de har uppdaterat är de klara med processerna och uppdaterar portalen kommer du att få e-postmeddelandet angående återbetalningen av inbytesbeloppet."
it,en,Ciao Monica! Sono Toby e sarebbe un piacere per me aiutarti! I tempi di elaborazione e spedizione per la consegna possono variare a seconda di cosa ordini. Hai già effettuato un ordine o c'è un articolo specifico a cui sei interessato?,Hi Monica! I&#39;m Toby and I&#39;d love to help! Processing and shipping times for delivery may vary depending on what you order. Have you already placed an order or is there a specific item you&#39;re interested in?
sv,en,"Ett ögenblick, återkommer med informationen du efterfrågade strax.","One moment, will get back to you with the information you requested right away."
sv,en,"Ett ögenblick, återkommer med informationen du efterfrågade strax.","One moment, will get back to you with the information you requested right away."
de,en,"Halenhorst 3, 21514 Büchen","Halenhorst 3, 21514 Büchen"
sv,en,"Väldigt tråkigt att kvalitén på min Tv kan försämras såhär fort trots jag bara haft den i 1år. Den är som ny…………., Mvh
Zerrin, Jag har ex testat starta om min tv, dra av sladden osv osv men de slutar alltid med att den laggas ändå och är super trög","Very sad that the quality of my TV can deteriorate so quickly even though I only had it for 1 year. It is like new…………. Mvh
Zerrin For example, I&#39;ve tried restarting my TV, pulling the cord, etc., etc., but they always end up lagging anyway and are super slow"
sv,en,”inte som ny,“not like new
sv,en,”inte som ny,“not like new
de,en,Nein das ist ja das große Problem ich habe absolut nichts von diesem Handy nur die Rechnung von Klarna,"No, that&#39;s the big problem. I have absolutely nothing from this phone, just the bill from Klarna."
de,en,Nein das ist ja das große Problem ich habe absolut nichts von diesem Handy nur die Rechnung von Klarna,"No, that&#39;s the big problem. I have absolutely nothing from this phone, just the bill from Klarna."
de,en,Nein das ist ja das große Problem ich habe absolut nichts von diesem Handy nur die Rechnung von Klarna,"No, that&#39;s the big problem. I have absolutely nothing from this phone, just the bill from Klarna."
en,de,"Thank you for your patience I have checked the information, and it seems that the delivery might be delayed I am so sorry about that.
I will have a ticket created fr your query to our specialist team to have your query resolved as soon as possible. Please allow me to create the ticket for you.","Vielen Dank für Ihre Geduld. Ich habe die Informationen überprüft und es scheint, dass sich die Lieferung verzögern könnte. Das tut mir sehr leid. Ich werde ein Ticket für Ihre Anfrage an unser Spezialistenteam erstellen, damit Ihre Anfrage so schnell wie möglich gelöst wird. Bitte erlauben Sie mir, das Ticket für Sie zu erstellen."
ar,en,الوووو,Wooow
en,sv,menu - settings - support - select about this TV - view serial number and model code of TV ,meny - inställningar - support - välj om denna TV - se serienummer och modellkod för TV 
ar,en,البائع,Seller
en,de,"Thank you so much, I will create a ticket for our specialist team to look into this for you. Please stay in the chat and I will provide the ticket number once I have finished creating the ticket.

","Vielen Dank, ich werde ein Ticket für unser Spezialistenteam erstellen, das sich das für Sie ansieht. Bitte bleiben Sie im Chat und ich werde Ihnen die Ticketnummer mitteilen, sobald ich mit der Ticketerstellung fertig bin.

"
en,sv,Kindly allow me a few moments to have a quick look at your query.,Vänligen låt mig ta en snabb titt på din fråga.
en,sv,Could you send me the exact phone cover that you are interested in so I can search for it in our stock report?,Kan du skicka det exakta telefonskalet som du är intresserad av så att jag kan söka efter det i vår lagerrapport?
en,de,Hi,Hallo
en,sv,"Thank you for the information Attila, please give me a moment to look into your case.","Tack för informationen Attila, snälla ge mig en stund att undersöka ditt fall."
en,sv,"Hello, You've reached out to from Samsung technical support, Hope you're having a wonderful day!
","Hej! Du har kontaktat Samsungs tekniska support. Hoppas du har en underbar dag!
"
en,sv,Your most welcome,Varmt välkommen
en,de,Kindly provide your billing address please ,Bitte geben Sie Ihre Rechnungsadresse an 
de,en,Benötige nur die Telefonnummer vom HES,Only need the phone number of the HES
de,en,Benötige nur die Telefonnummer vom HES,Only need the phone number of the HES
sv,en,Jag hittade,I found
sv,en,Jag hittade,I found
sv,en,Jag hittade,I found
en,de,"I will gladly have a look into this for you. Can you please confirm your first and last name, email address and billing address including postal code?
","Ich schaue gerne für Sie nach. Können Sie bitte Ihren Vor- und Nachnamen, Ihre E-Mail-Adresse und Ihre Rechnungsadresse inklusive Postleitzahl bestätigen?
"
en,en,ok,ok
en,fi,Kindly allow me a few moments to have a quick look at your query.,Anna minulle hetki aikaa tarkastella kyselyäsi nopeasti.
en,fi,"Hello, You've reached out to from Samsung technical support, Hope you're having a wonderful day!
","Hei, olet ottanut yhteyttä Samsungin tekniseen tukeen. Toivottavasti sinulla on upea päivä!
"
sv,en,Okej tack för hjälpen,Ok thanks for the help
de,en,Ich habe dieses mit Klarna auf 24 Monate Ratenkauf gehabt!,I had this with Klarna on a 24 month installment plan!
de,en,Ich habe dieses mit Klarna auf 24 Monate Ratenkauf gehabt!,I had this with Klarna on a 24 month installment plan!
de,en,Ich habe dieses mit Klarna auf 24 Monate Ratenkauf gehabt!,I had this with Klarna on a 24 month installment plan!
en,de,Unfortunately we do not have offers for price difference when it's about corporate benefits. We also don't have option to check offers on corporate benefit,"Leider haben wir keine Angebote für Preisunterschiede, wenn es um Firmenvorteile geht. Wir haben auch keine Möglichkeit, Angebote für Firmenvorteile zu prüfen"
af,en,Hy,He
ar,en,"المنطقة : الصخامة مافي ام صلال 
وكتبت الشارع 42 والzone 70 مبنى 37 فلا رقم 9","Area: Al Sakhama, not in Umm Salal. I wrote Street 42, Zone 70, Building 37, Villa No. 9."
en,de,"Ah, thank you for reaching out about this. I will gladly check this for you. ","Ah, danke, dass Sie sich diesbezüglich gemeldet haben. Ich werde das gerne für Sie überprüfen. "
en,sv,That is correct 😊 ,Det stämmer 😊 
en,de,"No problem, thank you for your patience and understanding, we appreciate it. Is there anything else I can do for you in the meantime? ","Kein Problem, wir danken Ihnen für Ihre Geduld und Ihr Verständnis. Kann ich in der Zwischenzeit sonst noch etwas für Sie tun? "
de,en,"Mohamad Adlouni, moe.adlouni@gmail.com, Hans-Grässel-Weg 2, 81375 München","Mohamad Adlouni, moe.adlouni@gmail.com, Hans-Grässel-Weg 2, 81375 Munich"
de,en,"Mohamad Adlouni, moe.adlouni@gmail.com, Hans-Grässel-Weg 2, 81375 München","Mohamad Adlouni, moe.adlouni@gmail.com, Hans-Grässel-Weg 2, 81375 Munich"
de,en,"Mohamad Adlouni, moe.adlouni@gmail.com, Hans-Grässel-Weg 2, 81375 München","Mohamad Adlouni, moe.adlouni@gmail.com, Hans-Grässel-Weg 2, 81375 Munich"
en,de,Are you interested in the voucher?,Sie haben Interesse am Gutschein?
da,en,Ordre nummer NO241123-31336721,Order number NO241123-31336721
da,en,Danielneon0@gmail.com og mit gamle telefonnummer er 93890559,Danielneon0@gmail.com and my old phone number is 93890559
da,en,Danielneon0@gmail.com og mit gamle telefonnummer er 93890559,Danielneon0@gmail.com and my old phone number is 93890559
da,en,Danielneon0@gmail.com og mit gamle telefonnummer er 93890559,Danielneon0@gmail.com and my old phone number is 93890559
en,de,Can you please tell me do you have the packaging of your mobile device still?,"Können Sie mir bitte sagen, ob Sie die Verpackung Ihres Mobilgeräts noch haben?"
de,en,"können Sie mir sagen was genau stimmt nicht, rechnung ist auf name meine Frau Bojana Bozhinovska und meine name ist Nikola Stoykovski","can you tell me what exactly is wrong, the invoice is in the name of my wife Bojana Bozhinovska and my name is Nikola Stoykovski"
de,en,"können Sie mir sagen was genau stimmt nicht, rechnung ist auf name meine Frau Bojana Bozhinovska und meine name ist Nikola Stoykovski","can you tell me what exactly is wrong, the invoice is in the name of my wife Bojana Bozhinovska and my name is Nikola Stoykovski"
de,en,"können Sie mir sagen was genau stimmt nicht, rechnung ist auf name meine Frau Bojana Bozhinovska und meine name ist Nikola Stoykovski","can you tell me what exactly is wrong, the invoice is in the name of my wife Bojana Bozhinovska and my name is Nikola Stoykovski"
en,de,"As a gesture of a gift, I have sent you a discount voucher for you to use in our online store.
","Als Geschenk habe ich Ihnen einen Rabattgutschein zugesandt, den Sie in unserem Online-Shop einlösen können.
"
no,en,Med tv modellen QLED QE1D 4K Smar,With the TV model QLED QE1D 4K Smar
no,en,Med tv modellen QLED QE1D 4K Smar,With the TV model QLED QE1D 4K Smar
en,de,May I please confirm is your charger defective?,"Darf ich bitte bestätigen, dass Ihr Ladegerät defekt ist?"
no,en-gb,Det kommer til å hjelpe noe hvis vi tar tilbake stil?,It&#39;s going to help if we bring back style?
fi,en,Tekninen Tuki,Technical Support
fi,en,"Laite otettu käyttöön 23.10.2024 ja toimi reilu 6 viikkoa hyvin, mutta nyt näyttöön ilmestyi vihreä kirkas pystyviiva, joka näkyy mustaa taustaa vasten kirkkaasti ja valeampaa taustaa vasten himmeämmin ohjelmalähteestä riippumatta.  Se näkyy ja on siinä jopa valmiustilassakin., Tekninen Tuki","The device was put into use on 23 October 2024 and worked well for about 6 weeks, but now a green, bright vertical line appeared on the screen, which appears brightly against a black background and dimmer against a lighter background, regardless of the program source. It is visible and is there even in standby mode. Technical Support"
fi,en,Tekninen Tuki,Technical Support
fi,en,"Laite otettu käyttöön 23.10.2024 ja toimi reilu 6 viikkoa hyvin, mutta nyt näyttöön ilmestyi vihreä kirkas pystyviiva, joka näkyy mustaa taustaa vasten kirkkaasti ja valeampaa taustaa vasten himmeämmin ohjelmalähteestä riippumatta.  Se näkyy ja on siinä jopa valmiustilassakin.","The device was put into use on 23 October 2024 and worked well for about 6 weeks, but now a green, bright vertical line appeared on the screen, which appears brightly against a black background and dimmer against a lighter background, regardless of the program source. It is visible and is there even in standby mode."
en,en-gb,Right number. And i do not have any other galaxy produktsiden...,Right number. And i do not have any other galaxy produktsiden...
en,de,"Hallo, welcome to Samsung. My name is Maria. I will now personally take care of your request. 🌺 ","Hallo, herzlich willkommen bei Samsung. Mein Name ist Maria. Ich werde mich jetzt persönlich um dein Anliegen kümmern. 🌺 "
und,de,"👍, This is enough, i will now take legal action, Samsung has treated this as a joke


Same thing agent say everyday no real help.given","👍 Das reicht, ich werde jetzt rechtliche Schritte einleiten, Samsung hat dies als Witz behandelt. Der Agent sagt jeden Tag das Gleiche, keine wirkliche Hilfe."
de,en,Ok. Vielen Dank,Ok. Thank you very much
de,en,Ok. Vielen Dank,Ok. Thank you very much
en,de,241209.0246509 this is your ticket number you will get a email shortly,241209.0246509 Dies ist Ihre Ticketnummer. Sie erhalten in Kürze eine E-Mail
de,en,"mit Experten Verbinden, Benötige nochmal die Telefonnummer vom Heß zur Termonvereinbarung, Hallo! Willkommen bei den Samsung Experten! Wie können wir dir heute helfen?",Connect with Experts Need Heß&#39;s phone number again to make an appointment Hello! Welcome to Samsung Experts! How can we help you today?
en,de,I apologize for the mistake. I meant that the tablet was available to be shipped sooner than the keyboard.,"Ich entschuldige mich für den Fehler. Ich meinte, dass das Tablet früher versandfertig war als die Tastatur."
en,sv,"Yes sure you can get it from the TV settings, let me guide through ","Ja visst kan du få det från TV-inställningarna, låt mig guida igenom "
en,sv,If I understood correctly you haven't sent your trade in device in yet? You are expecting the trade in label from Foxway?,Om jag förstått det rätt har du inte skickat in din bytesenhet än? Väntar du på handeln med etiketten från Foxway?
sv,en,Får jag detta https://www.samsung.com/se/offer/offline/screen-burn-warranty/,Do I get this https://www.samsung.com/se/offer/offline/screen-burn-warranty/
sv,en,Får jag detta https://www.samsung.com/se/offer/offline/screen-burn-warranty/,Do I get this https://www.samsung.com/se/offer/offline/screen-burn-warranty/
en,de,I am sorry to hear that!,Das tut mir leid!
de,en,Hast du Fragen zu deiner Bestellung oder Rechnung?,Do you have any questions about your order or invoice?
de,en,Hast du Fragen zu deiner Bestellung oder Rechnung?,Do you have any questions about your order or invoice?
bn,en,খুব ভালো লাগলো ভিডিও,Very nice video
sv,en,Jag är här,I am here
en,sv,"Before we continue, could you please be kind enough to provide your full name, email address, phone number.","Innan vi fortsätter, kan du vara vänlig nog att ange ditt fullständiga namn, e-postadress, telefonnummer."
zh-CN,en,我现在怎么改,How do I change it now?
de,en,Wäre es machbar das Sie mal schauen würden?+,Would it be possible for you to take a look?+
et,en,"Ja, Defekter ladeadapter, Hallo, ich bin der Chat-Assistent von Samsung. Beschreibe mir bitte jetzt kurz und bündig dein Anliegen in einem Satz., Online Shop Bestellungen, Technischer Support","And Defective charging adapter Hello, I am Samsung&#39;s chat assistant. Please describe your issue to me briefly and concisely in one sentence. online shop orders Technical support"
en,de,"I can assure you that you will receive your order as soon as possible, I will have to ask for your patience. As soon as your order is shipped, you will be notified automatically.","Ich kann Ihnen versichern, dass Sie Ihre Bestellung so schnell wie möglich erhalten, ich muss Sie jedoch um etwas Geduld bitten. Sobald Ihre Bestellung versandt wird, werden Sie automatisch benachrichtigt."
de,en,Hast du Fragen zu deiner Bestellung oder Rechnung?,Do you have any questions about your order or invoice?
de,en,"Welche IP soll ich dem TV zuweisen? Die Box kenntn den TV ja nicht oder ist die Situation eine andere nach der Power-Reset-Aktion?, Hast du eine technische Frage zu einem Produkt?",Which IP should I assign to the TV? The box doesn&#39;t know the TV or is the situation different after the power reset? Do you have a technical question about a product?
en,de,Please understand that is just the automatic notification by our system about estimated shipping date. You can expect that your order will probably be shipped before that date.,"Bitte haben Sie Verständnis, dass dies nur die automatische Benachrichtigung unseres Systems über den voraussichtlichen Versandtermin ist. Sie können davon ausgehen, dass Ihre Bestellung wahrscheinlich vor diesem Datum versandt wird."
de,en,Jetzt finde ich die IMEI Nummer nicht von dem Handy da ich das Handy auch nicht mehr hab!,Now I can&#39;t find the IMEI number for the phone because I don&#39;t have the phone anymore!
de,en,Jetzt finde ich die IMEI Nummer nicht von dem Handy da ich das Handy auch nicht mehr hab!,Now I can&#39;t find the IMEI number for the phone because I don&#39;t have the phone anymore!
de,en,Jetzt finde ich die IMEI Nummer nicht von dem Handy da ich das Handy auch nicht mehr hab!,Now I can&#39;t find the IMEI number for the phone because I don&#39;t have the phone anymore!
en,sv,For all TV if im not mistaken,För all TV om jag inte har fel
de,en,Herzlich willkommen bei Samsung Deutschland. Sende diese Nachricht ab um den Chat zu starten,Welcome to Samsung Germany. Send this message to start the chat
de,en,Herzlich willkommen bei Samsung Deutschland. Sende diese Nachricht ab um den Chat zu starten,Welcome to Samsung Germany. Send this message to start the chat
en,de,"Please note that was the delivery time indicated. After the order is shipped, the delivery time for these kind of products is 2-3 working days.","Bitte beachten Sie, dass es sich um die angegebene Lieferzeit handelt. Nach Versand der Bestellung beträgt die Lieferzeit für diese Art von Produkten 2-3 Werktage."
id,en,"Kak saya beli laptop Lenovo September 2023 ,dan hari ini laptop saya mati total sudah saya bawa ke toko laptop pas saya beli, itu garansi apa bisa diperpanjang ya ??","Bro, I bought a Lenovo laptop in September 2023, and today my laptop is completely dead. I took it to the laptop store when I bought it. Can the warranty be extended?"
en,sv,"Hello and thank you for contacting Samsung Shop!
My name is Michelle.
Give me a moment to check your case and I will get back to you!",Hej och tack för att du kontaktade Samsung Shop! Jag heter Michelle. Ge mig en stund att kontrollera ditt ärende så återkommer jag till dig!
de,en,Sehr gerne eine 10.,I&#39;d be happy to give it a 10.
de,en,Sehr gerne eine 10.,I&#39;d be happy to give it a 10.
de,en,Sehr gerne eine 10.,I&#39;d be happy to give it a 10.
en,sv,"Could you please, give me the email you used when you placed the order?",Kan du snälla ge mig den e-postadress du använde när du gjorde beställningen?
de,en,Usb ladegerät,USB charger
pt,en,Suporte Técnico e Especificações de Produto,Technical Support and Product Specifications
sv,en,"Du kommer strax kopplas till en av våra Samsung-experter., Tack
Hur kan jag hjälpa dig?, Nej, Kontakta Oss, Övriga frågor",You will be immediately connected to one of our Samsung experts. Thank you How can I help you? No Contact Us Other questions
en,sv,"Thank you for your patience Gyner..  We did have that campaign, but it ended on November 30th, I see your order was place on November 1st, unfortunately your order is not eligible to receive the Buds3.","Tack för ditt tålamod Gyner.. Vi hade den kampanjen, men den avslutades den 30 november, jag ser att din beställning gjordes den 1 november, tyvärr är din beställning inte kvalificerad för att ta emot Buds3."
en,de,"Yours agents said i will be contacted my specialist team,?

Where are they","Ihre Agenten sagten, ich werde von meinem Spezialistenteam kontaktiert? Wo sind sie?"
sv,en,Går det att se modellkoden och serienumret genom att inställningar på TV’n? Isf får du gärna vägleda mig till hur man ser det. Min TV är upphängd på väggen så jag kommer inte åt baksidan enkelt…,"Is it possible to see the model code and serial number through settings on the TV? Isf, can you please guide me on how to see it. My TV is mounted on the wall so I can&#39;t access the back easily…"
en,de,"The tablet was available for shipping sooner than the tablet, so it was shipped as a separate consignment. This is to avoid unnecessary wait for both products, when one of them could be shipped earlier. ","Das Tablet war früher versandbereit als das Tablet selbst und wurde daher als separate Sendung verschickt. So wird unnötiges Warten auf beide Produkte vermieden, wenn eines der beiden früher hätte verschickt werden können. "
en,de,GALAXY WATCH / BUDS,GALAXY UHR / BUDS
fr,en,Je pourrais savoir si mon billet inclut les bagages,I could know if my ticket includes baggage
en,de,"Yours agents said i will be contacted my specialist team,?

Where are they","Ihre Agenten sagten, ich werde von meinem Spezialistenteam kontaktiert? Wo sind sie?"
en,de,It has been a pleasure.  Thank you for your time and your patience :) I do apologize for any inconvenience that might have been caused. I would be happy to get a rating of 9 or 10 😀 Have a nice day :),Es war mir ein Vergnügen. Vielen Dank für Ihre Zeit und Ihre Geduld :) Ich entschuldige mich für etwaige Unannehmlichkeiten. Ich würde mich über eine Bewertung von 9 oder 10 freuen 😀 Ich wünsche Ihnen einen schönen Tag :)
da,en,Skal du bruge min e-mail?,Do you want to use my email?
da,en,Skal du bruge min e-mail?,Do you want to use my email?
da,en,Skal du bruge min e-mail?,Do you want to use my email?
de,en,Ich habe am 27.06.2020 ein Samsung S20 plus bestellt,I ordered a Samsung S20 plus on 27.06.2020
de,en,Ich habe am 27.06.2020 ein Samsung S20 plus bestellt,I ordered a Samsung S20 plus on 27.06.2020
de,en,Ich habe am 27.06.2020 ein Samsung S20 plus bestellt,I ordered a Samsung S20 plus on 27.06.2020
fil,en,antagal ngconfirm kinabahan na aq sir pero naconfirm naman almost 8hrs,"I was nervous about how long it took to confirm, sir, but it was confirmed for almost 8 hours"
en,de,The back office will see that your order has been delayed for a long time they will make sure the product gets to you as quick as possible ,"Das Backoffice erkennt, dass sich Ihre Bestellung lange verzögert hat und sorgt dafür, dass das Produkt so schnell wie möglich bei Ihnen ankommt. "
bn-Latn,en,Darun 🤣,Darun 🤣
en,de,"Thank you, just a moment please, I will check the status of your order now for you.","Vielen Dank, bitte einen Moment, ich werde jetzt den Status Ihrer Bestellung für Sie überprüfen."
ar,en,"كما تم مناقشتة في المكالمة الهاتفية، بعتذر منك جداً على التأخير وشاكرة لصبرك. 
بخصوص شحنتك تم تصعيد الطلب من قبلي لقسم التوصيل مجرد ما نحصل منهم رد سيتم تنبيهك. 
متفهمه موقفك وإستيائك وموجودة لمساعدتك ما تقلقي مجر ما احصل رد من قسم التوصيل راح يتم تنبيهك من قبلي. ","As discussed in the phone call, I sincerely apologize for the delay and thank you for your patience. Regarding your shipment, I have escalated the request to the delivery department. As soon as we receive a response from them, you will be notified. I understand your situation and dissatisfaction and am here to help you. Do not worry. As soon as I receive a response from the delivery department, you will be notified by me. "
en,de,The original date of delivery was 4,Der ursprüngliche Liefertermin war der 4.
ar,en,سعيدة بمساعدتك، موجودة لمساعدتك بكل وقت. ,"Happy to help you, here to help you at any time. "
en,da,"Are we still connected?
","Er vi stadig forbundet?
"
fil,en,"<a target=""_self"" data-sn-type=""FACEBOOK"" href=""javascript:void(0);"" data-screen-id=""8903127613135311"" class=""autolink-url username text-[var--spr-link#0E61F6-sw] sw--qe"" data-entity=""screenName"" data-url=""https://facebook.com/8903127613135311"" data-mention-type=""user"">Jade Saga</a> read comments. Hindi kana mag liwat sa agoda please","<a target=""_self"" data-sn-type=""FACEBOOK"" href=""javascript:void(0);"" data-screen-id=""8903127613135311"" class=""autolink-url username text-[var--spr-link#0E61F6-sw] sw--qe"" data-entity=""screenName"" data-url=""https://facebook.com/8903127613135311"" data-mention-type=""user"">Jade Saga</a> read comments. Please don&#39;t go to agoda again"
ar,en," مرحباً رنيم، معك الاء لمساعدتك اليوم .
"," Hi Ranim, this is Alaa to help you today.
"
en,de,What happened in 3 days,Was in 3 Tagen passiert ist
de,en,Schönen guten Morgen,Very good morning
de,en,Schönen guten Morgen,Very good morning
de,en,Schönen guten Morgen,Very good morning
ar,en,هو ايه الخدمة الزقت دى,What is this stuck service?
de,en,"ich habe den Artikel VS20C9544TB/GE am  Samstag um 388€ bestellt, jetzt is er durch den Corporate benfit shop um 349€ verfügbar. könnten sie mir die eine neue Rechnung zu diesem preis senden?","I ordered the item VS20C9544TB/GE on Saturday for 388€, now it is available through the Corporate Benfit Shop for 349€. Could you send me a new invoice for this price?"
de,en,"ich habe den Artikel VS20C9544TB/GE am  Samstag um 388€ bestellt, jetzt is er durch den Corporate benfit shop um 349€ verfügbar. könnten sie mir die eine neue Rechnung zu diesem preis senden?","I ordered the item VS20C9544TB/GE on Saturday for 388€, now it is available through the Corporate Benfit Shop for 349€. Could you send me a new invoice for this price?"
de,en,"ich habe den Artikel VS20C9544TB/GE am  Samstag um 388€ bestellt, jetzt is er durch den Corporate benfit shop um 349€ verfügbar. könnten sie mir die eine neue Rechnung zu diesem preis senden?","I ordered the item VS20C9544TB/GE on Saturday for 388€, now it is available through the Corporate benfit shop for 349€. Could you send me a new invoice for this price?"
